UNITID,OPEID6,Predicted Final Data LN,Final_Predicted 10 year earnings,CONTROL,CONTROL.1,TUITIONFEE_IN,TUITIONFEE_OUT,ICLEVEL,PREDDEG,ADM_RATE_ALL,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,TUITFTE,AVGFACSAL,PFTFAC,PCTPELL,COSTT4_A,C150_4,RET_FT4,CDR3,GRAD_DEBT_MDN,AGE_ENTRY,FAMINC,MN_EARN_WNE_P6,MN_EARN_WNE_P8,MN_EARN_WNE_P10,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10,SD_EARN_WNE_P6,SD_EARN_WNE_P8,SD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_NWNE_P8,COUNT_NWNE_P10,COUNT_WNE_P6,COUNT_WNE_P8,COUNT_WNE_P10,UGDS_MEN,UGDS_WOMEN
101587,1024,10.661853905558173,42695.71767552881,1,Public,8018.0,14886.0,1,3,0.7199,990.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.1723,0.0,0.0412,0.0,0.0,0.0,0.015,0.0,0.0,0.0599,0.03,0.0,0.0075,0.0599,0.0,0.0,0.0225,0.0,0.0337,0.0,0.0,0.0337,0.0,0.03,0.0,0.0,0.0,0.1798,0.2584,0.0262,7928.0,6146.0,0.5096,0.5323,17839.0,0.329,0.6451,0.078,22368.0,22.37768595,38795.6562,29700.0,33400.0,40400.0,26400.0,29600.0,37400.0,20600.0,22800.0,26800.0,93.0,90.0,90.0,845.0,781.0,710.0,0.441,0.559
101675,1028,,,2,Private,11604.0,11604.0,1,3,,,0.0,0.0152,0.0,0.0,0.0808,0.0,0.0859,0.0,0.0606,0.0,0.0,0.0,0.1061,0.0,0.0152,0.0,0.0,0.096,0.0152,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0,0.1717,0.0657,0.0101,0.0,0.0,0.0,0.0,0.0303,0.0,0.202,0.0404,5202.0,4404.0,0.736,0.8452,22436.0,0.2017,0.5236,0.168,36789.5,21.15769231,23953.9609,23100.0,25600.0,29500.0,20900.0,23600.0,26500.0,15300.0,17000.0,20100.0,111.0,124.0,152.0,988.0,939.0,879.0,0.5107,0.4893
101693,1029,10.649789341318655,42183.70724862645,2,Private,19475.0,19475.0,1,3,0.5847,1014.0,0.0,0.0,0.0,0.0,0.0299,0.0,0.01,0.0,0.1993,0.0,0.0,0.0,0.0,0.0,0.0233,0.1262,0.0,0.0266,0.0166,0.0,0.01,0.0133,0.0199,0.0432,0.0,0.0,0.0266,0.0,0.0,0.0266,0.0,0.0,0.0,0.0,0.0266,0.2525,0.1362,0.0133,9947.0,4914.0,1.0,0.4909,31220.0,0.4106,0.7713,0.062,27000.0,23.48831488,53143.92866,32700.0,37300.0,38700.0,29300.0,33700.0,35200.0,21000.0,25800.0,25700.0,46.0,61.0,99.0,493.0,508.0,662.0,0.35,0.65
101709,1004,10.670674315147513,43073.97714248539,1,Public,10660.0,21220.0,1,3,0.743,1070.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1143,0.0,0.0,0.0214,0.0571,0.0,0.0786,0.0,0.0,0.0179,0.0214,0.0,0.0,0.0643,0.0,0.0,0.0036,0.0,0.0786,0.0,0.05,0.0321,0.0,0.0,0.0,0.0,0.1286,0.0964,0.1286,0.0571,7568.0,7437.0,0.6552,0.3972,22440.0,0.4438,0.7881,0.103,23008.0,21.60177706,54023.86591,28000.0,32300.0,36100.0,27500.0,31300.0,34200.0,17200.0,19900.0,23300.0,87.0,96.0,115.0,723.0,640.0,775.0,0.3343,0.6657
101879,1016,10.676782456959351,43337.88427384584,1,Public,7412.0,13268.0,1,3,0.6788,1029.0,0.0,0.0,0.0,0.0,0.0714,0.0,0.0106,0.0,0.1168,0.0,0.0,0.0106,0.0319,0.0,0.0222,0.0,0.0,0.0309,0.0029,0.0,0.0425,0.0473,0.0,0.0,0.0203,0.0,0.0232,0.0444,0.0492,0.0608,0.0,0.0,0.0,0.0,0.0589,0.1631,0.1718,0.0212,6702.0,7424.0,1.0,0.4051,15494.0,0.3887,0.723,0.111,21221.5,22.25508247,52660.90756,32100.0,36300.0,42800.0,28600.0,31800.0,37800.0,21300.0,28000.0,33500.0,165.0,194.0,240.0,1542.0,1427.0,1478.0,0.4257,0.5743
101912,1033,10.559618545113294,38546.42142010538,2,Private,16720.0,16720.0,1,3,0.4787,928.0,0.0,0.0,0.0,0.0,0.0342,0.0,0.0311,0.0,0.0497,0.0,0.0,0.0093,0.0031,0.0,0.0217,0.0311,0.0,0.1894,0.0093,0.0,0.0,0.0,0.0,0.0839,0.0,0.0,0.0932,0.0,0.0404,0.0342,0.0,0.0,0.0,0.0,0.0342,0.1025,0.2112,0.0217,11693.0,5147.0,1.0,0.5062,36064.0,0.4371,0.7637,0.125,27250.0,22.16872891,52958.6153,25800.0,32400.0,37400.0,21800.0,27900.0,29700.0,19900.0,25000.0,33800.0,57.0,61.0,89.0,501.0,441.0,516.0,0.4318,0.5682
102049,1036,10.948813305975193,56886.49842759824,2,Private,27324.0,27324.0,1,3,0.5954,1165.0,0.0,0.0,0.0,0.0016,0.0637,0.0,0.0143,0.0,0.0653,0.0064,0.0,0.0175,0.0478,0.0478,0.0271,0.008,0.0,0.0494,0.0064,0.0,0.0048,0.0732,0.0223,0.0032,0.0016,0.0,0.035,0.0,0.0143,0.0414,0.0,0.0,0.0,0.0,0.0876,0.1799,0.1449,0.0366,18352.0,8367.0,0.997,0.1391,40900.0,0.661,0.8795,0.007,23500.0,21.70909091,98791.45882,45200.0,50700.0,59800.0,37500.0,42000.0,49900.0,53800.0,38800.0,47300.0,40.0,58.0,90.0,616.0,599.0,709.0,0.3508,0.6492
102058,40673,,,2,Private,6680.0,6680.0,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2609,0.0,0.0,0.0,0.0,0.0,0.0,0.3478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3913,0.0,7596.0,2989.0,0.8378,0.8247,12621.0,0.2147,0.3474,0.142,21050.0,26.15825688,10202.18578,,,,,,,,,,,,,,,,0.4131,0.5869
102094,1057,10.727921672646598,45611.79720353959,1,Public,7188.0,14076.0,1,3,0.8335,1048.0,0.0,0.0,0.0,0.0,0.039,0.0,0.028,0.0,0.0874,0.0714,0.0,0.005,0.0,0.0,0.0105,0.0,0.0,0.0614,0.004,0.0,0.0435,0.02,0.0045,0.0,0.022,0.0,0.032,0.0285,0.015,0.0235,0.0,0.0,0.0,0.0,0.0445,0.3437,0.1009,0.0155,7295.0,7195.0,0.6305,0.3906,18525.0,0.3824,0.7107,0.075,23500.0,22.45948866,50713.79906,35100.0,42400.0,46800.0,31500.0,35800.0,37800.0,24100.0,38900.0,45500.0,372.0,408.0,497.0,3199.0,2948.0,3095.0,0.4388,0.5612
102234,1041,10.687820962937833,43818.91984103974,2,Private,32468.0,32468.0,1,3,0.5177,1116.0,0.0,0.0,0.0,0.0,0.0954,0.0,0.0,0.0,0.0664,0.0041,0.0,0.0041,0.0,0.0,0.0415,0.0539,0.0,0.0913,0.0166,0.0,0.0249,0.0,0.0415,0.0,0.0041,0.0,0.1494,0.0,0.0,0.0747,0.0,0.0,0.0,0.0,0.029,0.0539,0.2158,0.0332,12082.0,6071.0,0.6822,0.2307,44970.0,0.5814,0.7262,0.066,27000.0,20.06866953,74514.59228,34800.0,44000.0,51300.0,33600.0,40600.0,45100.0,20000.0,26600.0,39500.0,31.0,36.0,58.0,388.0,415.0,424.0,0.3967,0.6033
102261,22704,10.764700187119919,47320.56164571893,2,Private,11370.0,11370.0,1,3,1.0,930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10634.0,4554.0,0.875,0.6398,17066.0,0.1765,0.8182,0.048,24000.0,32.94871795,36033.09402,30400.0,30900.0,38800.0,27800.0,28000.0,34400.0,27000.0,20100.0,24500.0,,,26.0,,,107.0,0.5529,0.4471
102270,1044,10.404201655219893,32997.98094922077,2,Private,15865.0,15865.0,1,3,0.5901,811.0,0.0,0.0,0.0,0.0,0.0351,0.0,0.0,0.0,0.0526,0.0,0.0,0.0,0.0,0.0,0.0351,0.0614,0.0,0.1667,0.0088,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0351,0.0263,0.2018,0.1228,21345.0,4597.0,1.0,0.8436,26185.0,0.2036,0.6687,0.187,38209.0,21.08731466,29620.1285,24900.0,28700.0,33700.0,22800.0,25400.0,28200.0,15500.0,18900.0,58200.0,55.0,36.0,61.0,527.0,368.0,459.0,0.5398,0.4602
102298,1046,,,2,Private,12509.0,12509.0,1,3,,,0.0,0.0,0.0,0.0,0.037,0.0,0.0494,0.0,0.0123,0.0,0.0,0.0,0.0,0.0,0.0617,0.0,0.0,0.0617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0617,0.0247,0.0494,0.0494,0.0,0.0,0.0,0.0,0.0617,0.0,0.4815,0.0494,18039.0,5186.0,1.0,0.5747,20918.0,0.443,0.4492,0.281,27745.0,21.17980636,22879.96127,24200.0,25600.0,23900.0,20300.0,23000.0,21900.0,21100.0,18500.0,16600.0,39.0,,32.0,283.0,,161.0,0.5849,0.4151
102368,1047,10.65674887337597,42478.31007132217,1,Public,7564.0,14092.0,1,3,0.4414,1050.0,0.0,0.0007,0.0,0.0,0.0306,0.0,0.0418,0.0,0.0578,0.0,0.001,0.007,0.0,0.0,0.0108,0.1061,0.0,0.0278,0.0097,0.0,0.0,0.0275,0.0,0.0,0.0035,0.0,0.1534,0.1347,0.0456,0.0633,0.0,0.0,0.0,0.0,0.0136,0.0668,0.1788,0.0195,8632.0,6246.0,0.385,0.4537,17354.0,0.3498,0.7514,0.114,23750.0,27.36968301,39706.00935,34300.0,37500.0,41100.0,30400.0,33800.0,37000.0,29300.0,28000.0,33300.0,819.0,798.0,952.0,6056.0,5413.0,5266.0,0.3884,0.6116
102377,1050,10.689097127639846,43874.875696670984,2,Private,19570.0,19570.0,1,3,0.4922,978.0,0.1315,0.0275,0.0398,0.0,0.0,0.0,0.0183,0.0,0.0153,0.159,0.0,0.0,0.0061,0.0,0.0336,0.0,0.0,0.0856,0.0122,0.0,0.0,0.0,0.0,0.0,0.0092,0.0,0.1131,0.0,0.0061,0.0398,0.0,0.0,0.0,0.0,0.0,0.052,0.2416,0.0092,14104.0,8399.0,0.9711,0.63,32853.0,0.4723,0.7178,0.128,33000.0,19.73599386,50145.00154,34500.0,39000.0,42200.0,28500.0,34200.0,35500.0,26700.0,26700.0,30400.0,56.0,66.0,82.0,823.0,860.0,783.0,0.4258,0.5742
102395,21706,,,2,Private,,,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14687.0,5569.0,0.2258,0.4,,,,0.042,25000.0,30.8125,33598.90179,35700.0,51100.0,,33600.0,46400.0,,19900.0,34000.0,,,,,,,,0.8111,0.1889
102553,11462,,,1,Public,5494.0,16466.0,1,3,,,0.0,0.0066,0.0,0.0044,0.0084,0.0,0.0199,0.0062,0.0261,0.0381,0.0575,0.0058,0.0151,0.0031,0.0217,0.1328,0.0,0.0142,0.0066,0.0,0.0274,0.0124,0.0031,0.0,0.0111,0.0106,0.0398,0.019,0.0102,0.0297,0.0,0.0217,0.0297,0.0305,0.0186,0.1965,0.1554,0.0177,5843.0,8640.0,0.4754,0.2385,13610.0,0.2504,0.7164,0.124,17500.0,25.23524948,44845.56308,41500.0,46300.0,51200.0,36000.0,40600.0,45400.0,30300.0,33600.0,38000.0,456.0,487.0,555.0,2632.0,2745.0,2779.0,0.4236,0.5764
102580,8843,,,2,Private,9300.0,9300.0,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8132.0,2201.0,,0.3571,15990.0,,0.3333,,,21.9375,51135.875,,,,,,,,,,,,,,,,0.5556,0.4444
102614,1063,,,1,Public,5246.0,16238.0,1,3,,,0.0,0.0386,0.0,0.004,0.0129,0.0,0.0089,0.0121,0.0225,0.0837,0.0346,0.0129,0.0242,0.0072,0.0153,0.0556,0.0,0.0354,0.0072,0.0,0.037,0.0,0.004,0.0,0.0193,0.0,0.0282,0.0644,0.0346,0.0201,0.0282,0.0443,0.0113,0.0008,0.0209,0.1538,0.1506,0.0072,6491.0,9175.0,0.6462,0.2263,15340.0,0.3224,0.7756,0.125,16500.0,25.73109601,47398.87086,36500.0,40400.0,45100.0,30700.0,34300.0,38700.0,30500.0,31900.0,44100.0,206.0,214.0,271.0,1138.0,1105.0,1235.0,0.4429,0.5571
102669,1061,10.700492839023369,44377.72081430956,2,Private,19610.0,19610.0,1,3,0.4207,1054.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.1098,0.0,0.061,0.0,0.0,0.0366,0.1585,0.0,0.0,0.0366,0.0,0.0854,0.0,0.0854,0.0,0.0,0.0,0.0,0.0,0.0,0.0244,0.2805,0.0,13383.0,5804.0,0.5942,0.3152,42640.0,0.6,0.7742,0.077,23125.0,26.83941606,65329.80292,37500.0,41000.0,45300.0,33200.0,38500.0,40200.0,25000.0,27600.0,31100.0,,,,,,,0.3527,0.6473
103787,21999,,,2,Private,11700.0,11700.0,1,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545,0.0,3313.0,2491.0,0.6,0.75,23387.0,0.1765,0.4286,0.306,18835.0,26.35384615,20684.09231,,,,,,,,,,,,,,,,0.4607,0.5393
