UNITID,INSTNM,Snippet,Motto
102234,Spring Hill College,"Spring Hill College is a private, liberal arts college in the Catholic, Jesuit tradition. Founded in 1830 and located on the Gulf Coast in Mobile, Alabama, the College is accredited by the Southern Association of Colleges and Schools. It was founded in 1830 by Michael Portier, Bishop of Mobile. Along with being the oldest college or university in the state of Alabama, it was the first Catholic college in the South, is the fifth-oldest Catholic college in the United States, and is the third-oldest of the 28-member Association of Jesuit Colleges and Universities. In 2010, U.S. News & World Report reported that Spring Hill College ranked 14th among the top colleges in the South offering both bachelor's and master's level degrees.[3]
",In Colle Exaltatus Fons Sapientae (Latin)
102261,Southeastern Bible College,"Southeastern Bible College was a private Christian Bible college in Birmingham, Alabama. The school's 22-acre campus was located in the suburbs just south of the downtown Birmingham area.  It was accredited by the Association for Biblical Higher Education.[1]
",N/A
102270,Stillman College,"
",N/A
102298,Talladega College,"Talladega College, located in Talladega, Alabama, is a private, liberal arts college. It is Alabama's oldest private historically black college. As of 2009, it received full SACS accreditation.[1]
",An Education of Distinction
102368,Troy University,"
",N/A
102377,Tuskegee University,"Tuskegee University is a private, historically black university (HBCU) located in Tuskegee, Alabama, United States. It was established by Lewis Adams and Booker T. Washington.  The campus is designated as the Tuskegee Institute National Historic Site by the National Park Service. The university was home to scientist George Washington Carver and to World War II's Tuskegee Airmen.
",Scientia Principatus Opera
102395,United States Sports Academy,"The United States Sports Academy is a regionally accredited,[2] sport-specific institution located in Daphne, Alabama. It offers bachelor's, master's and doctoral degree programs as well as certificate programs. Founded in 1972, the Academy has provided its sports programs to more than 60 countries around the world.
",N/A
102553,University of Alaska Anchorage,"The University of Alaska Anchorage (UAA) is a public research university located in Anchorage, Alaska, United States. UAA also administers four community campuses spread across Southcentral Alaska. These are Kenai Peninsula College, Kodiak College, Matanuska–Susitna College, and Prince William Sound College. Between the community campuses and the main Anchorage campus, nearly 18,000 undergraduate, graduate, and professional students are currently enrolled at UAA. It is Alaska's largest institution of higher learning and the largest university in the University of Alaska System.
",N/A
102580,Alaska Bible College,"Alaska Bible College is a private four-year institution located in Palmer, Alaska.  Extension courses are also offered in Anchorage and Glennallen.  It is nationally accredited by the Association for Biblical Higher Education.[2]
",Becoming servant leaders with Christ-like character.
102614,University of Alaska Fairbanks,"The University of Alaska Fairbanks (also referred to as UAF or Alaska) is a public research university in College, Alaska. It is a flagship campus of the University of Alaska system and a land-grant, sea-grant, and space-grant institution. UAF was established in 1917 and opened for classes in 1922. Originally named the Alaska Agricultural College and School of Mines, it became the University of Alaska in 1935. Fairbanks-based programs became the University of Alaska Fairbanks in 1975.
",Naturally Inspiring
102669,Alaska Pacific University,"Alaska Pacific University (APU) is a small liberal arts and sciences college located in Anchorage, Alaska.[2] Originally established as Alaska Methodist University in 1957, it was founded by Peter Gordon Gould.[3] The main campus is located adjacent to the University of Alaska Anchorage (UAA) and the Alaska Native Medical Center.
",N/A
103787,American Indian College Inc,"Other reasons this message may be displayed:
",N/A
104151,Arizona State University-Tempe,"Other reasons this message may be displayed:
",N/A
104179,University of Arizona,"
","""Bear Down, Arizona""[1]The seal of the university is emblazoned with the word ""Sursum"", Latin for ""Upwards"".[2]"
104586,Embry-Riddle Aeronautical University-Prescott,"Other reasons this message may be displayed:
",N/A
104665,School of Architecture at Taliesin,"Other reasons this message may be displayed:
",N/A
105330,Northern Arizona University,"
",N/A
105367,Ottawa University-Phoenix,"Other reasons this message may be displayed:
",N/A
105589,Prescott College,"Prescott College is a private liberal arts college in Prescott, Arizona.
","For the Liberal Arts, the Environment, and Social Justice"
105899,Arizona Christian University,"Arizona Christian University is a private Christian university in Phoenix, Arizona.[1]
",N/A
106245,University of Arkansas at Little Rock,"The University of Arkansas at Little Rock (UA Little Rock, formerly UALR) is a metropolitan public research university located in Little Rock, Arkansas, United States. Established as Little Rock Junior College by the Little Rock School District in 1927, the institution became a private four-year university under the name Little Rock University in 1957. It returned to public status in 1969 when it merged with the University of Arkansas System under its present name. The former campus of Little Rock Junior College is now (2019) the campus of Philander Smith College.
","Cultus, Veritas, Scientia"
106263,University of Arkansas for Medical Sciences,"The University of Arkansas for Medical Sciences (UAMS) is part of the University of Arkansas System, a state-run university in the U.S. state of Arkansas. The main campus is located in Little Rock and consists of five colleges including one graduate school, seven institutes, a statewide network of community educational centers, and the UAMS Medical Center.
",N/A
106342,Lyon College,"Lyon College is a private residential liberal arts college affiliated with the Presbyterian Church (U.S.A.) and located in Batesville, Arkansas. Founded in 1872, it is the oldest independent college in Arkansas.
",N/A
106397,University of Arkansas,"
",Veritate Duce Progredi (Latin)
106412,University of Arkansas at Pine Bluff,"The University of Arkansas at Pine Bluff (UAPB) is a public historically black university located in Pine Bluff, Arkansas, United States. Founded in 1873, the second oldest public institution in the state of Arkansas. UAPB is a member-school of the University of Arkansas System and Thurgood Marshall College Fund.
",N/A
106458,Arkansas State University-Main Campus,"Other reasons this message may be displayed:
",N/A
106467,Arkansas Tech University,"Arkansas Tech University (ATU) is a public university in Russellville, Arkansas. The university offers programs at both baccalaureate and graduate levels in a range of fields. Arkansas Tech welcomed its first doctoral cohorts in the Summer of 2015. The Arkansas Tech University–Ozark Campus, a two-year satellite campus in the town of Ozark, primarily focuses on associate and certificate education.
",N/A
106704,University of Central Arkansas,"The University of Central Arkansas (often referred to as Central Arkansas or UCA) is a public research university in Conway, Arkansas. Founded in 1907 as the Arkansas State Normal School, the university is one of the oldest in the U.S. state of Arkansas.[3] As the state's only normal school at the time, UCA has historically been the primary source of teachers in Arkansas.[3] Today with a more academically diverse mission, UCA is noted for its nationally recognized programs in nursing, education, physical therapy, business, performing arts, and psychology.
",Go here. Go anywhere.[1]
106713,Central Baptist College,"Central Baptist College (CBC) is a private liberal arts college in Conway, Arkansas. It offers majors within the fields of behavioral science, business, general education, missions, music, religion, and science. CBC was founded in 1952 as Conway Baptist College, and awards both associate and bachelor's degrees.[1] Enrollment is at 470 for traditional students with a 55% to 45% male to female ratio, and over 200 non traditional PACE Students.  Students are required to live on campus their freshman year (with exceptions).  The academic calendar at Central Baptist College is divided into semesters.   Extracurricular activities at CBC include a chorus, intramural sports, student service organizations, and student government organizations. Varsity sports teams compete in the National Christian College Athletic Association and the National Association of Intercollegiate Athletics.  Chapel services are required once weekly for all full-time students.
",N/A
107044,Harding University,"Harding University is a private, coeducational, and residential liberal arts university with its main campus in Searcy, Arkansas, and other campuses around the world. It is the largest private university in the state of Arkansas. Established in 1924, the university offers undergraduate, graduate, and pre-professional programs. The university also comprises Harding School of Theology, located in Memphis, Tennessee, which was formerly known as Harding Graduate School of Religion.[2] Harding is one of several institutions of higher learning associated with the Churches of Christ.
","""Community of Mission"""
107071,Henderson State University,"
",N/A
107080,Hendrix College,"
",N/A
107141,John Brown University,"John Brown University (JBU) is a private, interdenominational, Christian liberal arts college in Siloam Springs, Arkansas. Founded in 1919, JBU enrolls 2,613 students from 41 states and 50 countries in its traditional undergraduate, graduate, online, and concurrent education programs.[2]
",Christ Over All
107512,Ouachita Baptist University,"Ouachita Baptist University (OBU) is a private, Baptist liberal arts college in Arkadelphia, Arkansas. The university's name is taken from the Ouachita (pronounced WAH-shi-tah) River, which forms the eastern campus boundary. It is affiliated with the Arkansas Baptist State Convention. 
",N/A
107558,University of the Ozarks,"University of the Ozarks is a private, four-year liberal arts university located in Clarksville, Arkansas. The university's 30-acre (120,000 m2), tree-shaded campus sits atop College Hill, about two blocks north of downtown Clarksville. Enrollment averages around 900 students, representing 25 countries. U of O is affiliated with the Presbyterian Church (U.S.A.).
",N/A
107600,Philander Smith College,"Philander Smith College is a private historically black college, in Little Rock, Arkansas. Philander Smith College is affiliated with the United Methodist Church and is a founding member of the United Negro College Fund (UNCF). Philander Smith College is accredited by the North Central Association of Colleges and Schools.
",N/A
107877,Williams Baptist University,"Williams Baptist University is a private, coeducational university located in the Lawrence County, Arkansas community of Walnut Ridge. Founded in 1941, this institution began its life as a  two-year school.  It began granting bachelor's degrees in 1984 and master's degrees in 2017. The name of the school was changed in 1991 from Southern Baptist College to Williams Baptist College in honor of its founder and first president, Dr. H. E. Williams.  In 2018, its name was changed to Williams Baptist University.  The current president of the institution is Dr. Stan Norman, who took office in April 2018. 
",N/A
107983,Southern Arkansas University Main Campus,"Other reasons this message may be displayed:
",N/A
108092,University of Arkansas-Fort Smith,"
",N/A
109651,Art Center College of Design,"Art Center College of Design (stylized as ArtCenter College of Design) is a nonprofit, private college located in Pasadena, California.
",N/A
109785,Azusa Pacific University,"Azusa Pacific University (APU) is a private, evangelical Christian university in Azusa, California. The university was founded in 1899, with classes opening on March 3, 1900, in Whittier, California, and began offering degrees in 1939. The university's seminary, the Graduate School of Theology, holds to a Wesleyan-Arminian doctrinal theology.[1] APU offers more than 100 associate, bachelor's, master's, and doctoral programs on campus, online, and at seven regional locations across Southern California.
",N/A
110060,Bethesda University,"Bethesda University is a Christian university in Anaheim, California. It was founded in 1976 by Dr. David Yonggi Cho. The university is accredited by the Association of Biblical Higher Education and the Transnational Association of Christian Colleges and Schools and it is approved by the Bureau for Private Postsecondary Education of the State of California.[1][2][3]
",N/A
110097,Biola University,"Biola University (/baɪˈoʊlə/) is a private, evangelical Christian university in La Mirada, California. Founded in 1908, the university has over 150 programs of study in nine schools.
",Above All Give Glory to God
110316,California Institute of Integral Studies,"California Institute of Integral Studies (CIIS) is a private, non-profit university founded in 1968 and based in San Francisco, California.[1][2][3] It currently operates in two locations; the main campus near the confluence of the Civic Center, SoMa, and Mission districts,[4] and another campus for the American College of Traditional Chinese Medicine in Potrero Hill neighborhood.[5] CIIS has a total of 1,510 students and 80 core faculty members.[6]
",N/A
110361,California Baptist University,"
",Live Your Purpose
110370,California College of the Arts,"California College of the Arts (CCA) is an art, design, architecture, and writing school with two campuses in California, one in San Francisco and one in Oakland. Founded in 1907, it enrolls approximately 1,500 undergraduates and 500 graduate students.[1]
",N/A
110404,California Institute of Technology,"
",The truth shall make you free[2]
110413,California Lutheran University,"California Lutheran University (CLU or Cal Lutheran) is a private liberal arts university in Thousand Oaks, California. It was founded in 1959 and is affiliated with the Evangelical Lutheran Church in America, but is nonsectarian.[3] It opened in 1960 as California Lutheran College and was California's first four-year liberal arts college and the first four-year private college in Ventura County. It changed its name to California Lutheran University on January 1, 1986.[4][5][6]
",N/A
110422,California Polytechnic State University-San Luis Obispo,"California Polytechnic State University (also known as California Polytechnic State University, San Luis Obispo,[7] Cal Poly San Luis Obispo,[7] or Cal Poly[8]) is a public university in San Luis Obispo, California. It is one of two polytechnics in the California State University system.
",Discere Faciendo (Latin)
110486,California State University-Bakersfield,"California State University, Bakersfield (often abbreviated CSUB or shortened to Cal State Bakersfield or CSU Bakersfield) is a public university located in Bakersfield, California, United States, and was founded in 1965. CSUB opened in 1970 on a 375-acre (152 ha) campus, becoming the 19th school in the 23-campus California State University system. The university offers 45 different Bachelor's degrees and 21 types of  Master's degrees. The university offers a Doctoral Program in Educational Leadership (Ed.D).[9][10]
","Inspiring Excellence, Transforming Lives[1][2]"
110495,California State University-Stanislaus,"California State University, Stanislaus (also known as Stanislaus State or simply Stan State and formerly known as CSU Stanislaus) is a public university in Turlock, California.  It is part of the California State University system.  It was established in 1957 and is also the only campus in the system to offer a bachelor's degree in cognitive studies. The university offers 133 Bachelor's degrees, 35 Master's degrees, two Doctoral degrees (Doctor of Education), and 14 teaching credentials.[3][4]
",Engaging - Empowering - Transforming
110510,California State University-San Bernardino,"California State University, San Bernardino (Cal State San Bernardino or CSUSB) is a public university in San Bernardino, California.  It is one of the 23 general campuses of the California State University system. The main campus sits on 441 acres (178 ha) in the University District of San Bernardino, with a branch campus of 40 acres (16 ha) in Palm Desert, California, opened in 1986. Founded in 1965, Cal State San Bernardino's Fall 2016 enrollment was 20,767. In Fall of 2013, it had 864 faculty, of which 362 (or 42 percent) were on the tenure track.[4]
",We define the future
110529,California State Polytechnic University-Pomona,"
",Learn By Doing[1]
110538,California State University-Chico,"California State University, Chico (also known as CSU Chico or Chico State), is the second oldest campus in the 23-campus California State University system.  It is located in Chico, California, about 90 miles (140 km) north of Sacramento. As of the Fall 2018 semester, the university had a total enrollment of 17,448 students. The university offers 126 types of bachelor's degrees, 35 types of master's degrees, and four types of teaching credentials. The university does not confer doctoral degrees.[6][7]
",Ars Probat Artificem (Latin)
110547,California State University-Dominguez Hills,"California State University, Dominguez Hills (also known as CSUDH, Dominguez Hills, or Cal State Dominguez Hills) is a public university in Carson, California.  It was founded in 1960 and is part of the California State University (CSU) system.[5]
",Vox Veritas Vita (Latin)
110556,California State University-Fresno,"
",Lucem Accipe Ut Reddas (Latin)
110565,California State University-Fullerton,"California State University, Fullerton (CSUF or Cal State Fullerton) is a public university in Fullerton, California.  With a total enrollment of about 40,400, it has the largest student body of the 23-campus California State University (CSU) system, and its approximately 5,800 graduate student body is also the largest in the CSU and one of the largest in all of California. As of Fall 2016, the school had 2,083 faculty, of which 782 were on the tenure track.[6]
",N/A
110574,California State University-East Bay,"
Coordinates: 37°39′25″N 122°03′28″W﻿ / ﻿37.65694°N 122.05778°W﻿ / 37.65694; -122.05778
",Per Aspera Ad Astra (Latin)
110583,California State University-Long Beach,"
",Vox Veritas Vita (Latin)
110592,California State University-Los Angeles,"
",N/A
110608,California State University-Northridge,"
",Where Individuals Rise [1]
110617,California State University-Sacramento,"California State University, Sacramento (CSUS; Sacramento State, informally Sac State) is a public university in Sacramento, California. Founded in 1947 as Sacramento State College, it is the eleventh oldest school in the 23-campus California State University system. The university enrolls approximately 31,130 students annually, has an alumni base of more than 240,000[6] and awards 7,000 degrees annually. The university offers 151 different Bachelor's degrees, 69 Master's degrees, 28 types of teaching credentials, and 2 Doctoral degrees.[7][8] The university also has extensions in Singapore, offering a unique IMBA (International Master's in Business Administration).[9] It is consistently one of the top three destinations among all universities in the state for California Community College students, welcoming over 4,000 new transfers each academic year.[10]
",Redefine the Possible
110635,University of California-Berkeley,"
",Fiat lux (Latin)
110644,University of California-Davis,"The University of California, Davis (also referred to as UC Davis), is a public research university and land-grant university adjacent to Davis, California.[9] It is part of the University of California (UC) system and has the third-largest enrollment in the UC System after UCLA and UC Berkeley.[7]  The institution was founded as a branch in 1909 and became its own separate entity in 1959.  It has been labeled one of the ""Public Ivies"", a publicly funded university considered to provide a quality of education comparable to those of the Ivy League.[10][11]
",Fiat lux (Latin)
110653,University of California-Irvine,"The University of California, Irvine (UCI or UC Irvine)[8] is a public research university located in Irvine, California. It is one of the 10 campuses in the University of California (UC) system. UC Irvine offers 87 undergraduate degrees and 129 graduate and professional degrees. The university is classified as a Research I university and in 2017 had $361 million in research and development expenditures, according to the National Science Foundation.[9] UC Irvine became a member of the Association of American Universities in 1996 and is the youngest university to hold membership.[10] It is considered to be one of the ""Public Ivies,"" meaning that it is among those publicly funded universities thought to provide a quality of education comparable to that of the Ivy League.[11][12]
",Fiat lux (Latin)
110662,University of California-Los Angeles,"
",Fiat lux (Latin)
110671,University of California-Riverside,"The University of California, Riverside (UCR or UC Riverside), is a public research university in Riverside, California.  It is one of the 10 general campuses of the University of California system. The main campus sits on 1,900 acres (769 ha) in a suburban district of Riverside with a branch campus of 20 acres (8 ha) in Palm Desert. In 1907 the predecessor to UCR was founded as the UC Citrus Experiment Station, Riverside which pioneered research in biological pest control and the use of growth regulators responsible for extending the citrus growing season in California from four to nine months. Some of the world's most important research collections on citrus diversity and entomology, as well as science fiction and photography, are located at Riverside.
",Fiat lux (Latin)
110680,University of California-San Diego,"
",Fiat lux (Latin)
110705,University of California-Santa Barbara,"
",Fiat lux (Latin)
110714,University of California-Santa Cruz,"
",Fiat lux (Latin)
111081,California Institute of the Arts,"The California Institute of the Arts (CalArts) is a private art university in the Los Angeles suburb of Santa Clarita, California, United States. It was incorporated in 1961 as the first degree-granting institution of higher learning in the US created specifically for students of both the visual and performing arts. It offers Bachelor of Fine Arts, Master of Fine Arts, Master of Arts, and Doctor of Musical Arts degrees through its six schools: Art, Critical Studies, Dance, Film/Video, Music, and Theater.[6]
",N/A
111188,California State University Maritime Academy,"
",Laborare Pugnare Parati Sumus (Latin)
111948,Chapman University,"Chapman University is a private university in Orange, California. Chapman University offers 110 areas of study (49 majors and 61 minors), and encompasses ten schools and colleges: Dodge College of Film and Media Arts, Wilkinson College of Humanities and Social Sciences, Argyros School of Business and Economics, the School of Communication, Schmid College of Science and Technology, College of Performing Arts, Dale E. Fowler School of Law, College of Educational Studies, the School of Pharmacy and the Crean College of Health and Behavioral Sciences.
",ὀ Χριστòς καì ἡ Ἐκκλησíα (Greek)
112075,Concordia University-Irvine,"Other reasons this message may be displayed:
",N/A
112084,San Diego Christian College,"San Diego Christian College (SDCC) is a private, evangelical Christian college in Santee, California, a suburb of San Diego.
",N/A
112260,Claremont McKenna College,"
",Crescit cum commercio civitas[1] (Latin)
112570,Columbia College Hollywood,"Columbia College Hollywood is a private, nonprofit liberal arts college located in the San Fernando Valley of Los Angeles, California, U.S.A., with Flashpoint Chicago, a campus of Columbia College Hollywood, located in Chicago, Illinois.
",N/A
113698,Dominican University of California,"Dominican University of California is a private, not-for-profit, coeducational university located in San Rafael, California. It was founded in 1890 as Dominican College by the Dominican Sisters of San Rafael. It is one of the oldest universities in California. 
",N/A
114813,Fresno Pacific University,"Fresno Pacific University (FPU) is a Christian university in Fresno, California. It was founded as the Pacific Bible Institute in 1944 by the Pacific District Conference of Mennonite Brethren Churches. The university awarded its first Bachelor of Arts degree in 1965.[1] The first master's degree program was introduced in 1975.[1]
",Founded on Christ
115083,Golden Gate University-San Francisco,"Other reasons this message may be displayed:
",N/A
115409,Harvey Mudd College,"Harvey Mudd College (HMC) is a private residential undergraduate science and engineering college in Claremont, California. It is one of the institutions of the contiguous Claremont Colleges which share adjoining campus grounds. Harvey Mudd College shares university resources such as libraries, dining halls, health services and campus security with the other Claremont Colleges, although each college is independently managed, with their own faculty, board of trustees, endowment, and admissions procedures. Students at Harvey Mudd College may take classes (acceptable for academic credit at Harvey Mudd College) at the other four undergraduate Claremont colleges. The Bachelor of Science diploma received at graduation is issued by Harvey Mudd College.
",N/A
115728,Holy Names University,"Holy Names University is a private, Roman Catholic university in Oakland, California.  It was founded by and remains affiliated with the Sisters of the Holy Names of Jesus and Mary.
",Honor. Nobilitas. Virtus.
115755,Humboldt State University,"
",ΦΩΣ ΑΛΗΘΕΙΑ (Greek)
115773,Humphreys University-Stockton and Modesto Campuses,"Other reasons this message may be displayed:
",N/A
116712,John F. Kennedy University,"John F. Kennedy University is a nonprofit, private university in Pleasant Hill, California, with a satellite campus in San Jose. It was founded in 1965 to focus on providing continuing opportunities for non-traditional higher education. Enrollment is approximately 1,600 (as of fall 2010) with no campus housing. The faculty consists of over 700 adjunct faculty employed in their subject areas in addition to about 60 full-time academics.
",N/A
116846,American Jewish University,"American Jewish University (AJU), formerly the separate institutions University of Judaism and Brandeis-Bardin Institute, is a Jewish institution in Los Angeles, California.
",Education demands innovation...
117104,Life Pacific College,"Life Pacific University (LPU) is a private Christian bible college associated with the International Church of the Foursquare Gospel and located in San Dimas, California. LPC serves as the denomination's primary center for higher education. The college also operates an extension site, LPC-Ignite, in Christiansburg, Virginia.
",N/A
117140,University of La Verne,"The University of La Verne (ULV) is a private university in La Verne, California. Founded in 1891, the university is composed of the College of Arts & Sciences, College of Business & Public Management, the LaFetra College of Education, College of Law, and a Regional Campus Administration that oversees seven regional campuses. It awards both undergraduate and graduate degrees. Many of their classes are taught at smaller campuses throughout the greater Los Angeles area.
",N/A
117168,Laguna College of Art and Design,"Laguna College of Art and Design (LCAD) is a private college in Laguna Beach, California. With an enrollment of more than 700 students, the college offers Bachelor of Fine Arts degrees in 11 majors and three Master of Fine Arts degree programs as well as a post-baccalaureate certificate program in Drawing and Painting.
",Empowering Creative Leaders
117557,Lincoln University,"Lincoln University or University of Lincoln may refer to: 
",N/A
117575,Southern California Seminary,"Other reasons this message may be displayed:
",N/A
117627,La Sierra University,"Divisions 
","To Seek, To Know, To Serve"
117636,Loma Linda University,"Divisions 
",N/A
117751,The Master's University and Seminary,"Other reasons this message may be displayed:
",N/A
117946,Loyola Marymount University,"Loyola Marymount University (LMU) is a private Jesuit and Marymount research university in Los Angeles, California. It is located on the westside of the city and is scenically positioned atop the bluffs overlooking Playa Vista. LMU is also the parent school to Loyola Law School located in downtown Los Angeles.
",Ad majorem Dei gloriam (Latin)Tua Luce Dirige (Latin)
118541,Marymount California University,"Marymount California University is a Catholic university in Rancho Palos Verdes, California.  Based in the liberal arts tradition and inspired by the Religious of the Sacred Heart of Mary (RHSM), the university awards associate, bachelor's, and graduate degrees.[2] The institution is accredited by the Western Association of Schools and Colleges.[3]
",Tua Luce Dirige
118693,Menlo College,"Menlo College is a private college specializing in business and located in Atherton, California.
",N/A
118888,Mills College,"Mills College is a private liberal arts and sciences college in Oakland, California. Mills was founded as the Young Ladies Seminary in 1852 in Benicia, California. The school was relocated to Oakland, California, in 1871, and became the first women's college west of the Rockies. Currently, Mills is an undergraduate women's college with graduate programs for students of all genders. In 2014, Mills became the first single-sex college in the U.S. to adopt an admission policy explicitly welcoming transgender students.[4]
","Una destinatio,viae diversae. (Latin)"
119058,Middlebury Institute of International Studies at Monterey,"The Middlebury Institute of International Studies at Monterey (MIIS), formerly known as the Monterey Institute of International Studies, is an American graduate school within Middlebury College, a private college in Middlebury, Vermont.
",N/A
119173,Mount Saint Mary's University,"
",Spes Nostra (Latin)
119605,National University,"A national university is generally a university created or managed by a government, but which may at the same time operate autonomously without direct control by the state.
",N/A
120184,Notre Dame de Namur University,"Coordinates: 37°31′02″N 122°17′04″W﻿ / ﻿37.51729°N 122.28443°W﻿ / 37.51729; -122.28443
",Ora et Labora (Latin)
120254,Occidental College,"Occidental College (informally Oxy) is a private liberal arts college in Los Angeles, California. Founded in 1887 by clergy and members of the Presbyterian Church, it is one of the oldest liberal arts colleges on the West Coast. Occidental College is often referred to as ""Oxy"" for short.
",Occidens Proximus Orienti (Latin)
120403,Otis College of Art and Design,"Otis College of Art and Design is a private art and design school in Los Angeles, California. Established in 1918, it was the city's first independent professional school of art.[1] The main campus is located in the former IBM Aerospace Headquarters at 9045 Lincoln Boulevard in Westchester, Los Angeles.
",N/A
120537,Hope International University,"Hope International University is a private Christian university in Fullerton, California. Hope International University has an enrollment of more than 2,000 students representing 35 states and 40 countries.[1] While Hope is non-denominational, it has strong ties to the Restoration Movement and the Christian churches and churches of Christ. Hope is accredited by the Western Association of Schools and Colleges (WASC). Hope International is across the street from California State University, Fullerton. Hope International also has contract programs with CSUF.
",N/A
120698,Palo Alto University,"Palo Alto University (PAU) is a private university in Palo Alto, California that focuses on psychology.  It was founded in 1975 as the Pacific Graduate School of Psychology.
",N/A
120768,Pacific Oaks College,"Pacific Oaks College is private college with its main campus in Pasadena, California and a second branch campus in San Jose. The college draws on Quaker principles and focuses on social justice.  It offers full and part-time undergraduate and graduate courses at Pacific Oaks' California campuses as well as online. Pacific Oaks' anti-bias curriculum has created strong efforts to challenge social injustice and point out issues related to social changes, human development, and child development. Pacific Oaks also operates a children's school that has been in operation since 1945.[1]
","Justice, Respect, Diversity"
120838,Pacific States University,"Pacific States University is a private university in Los Angeles, California.  Founded in 1928 as an independent private institution, it has provided an education in the fields of business and computer science to more than 10,000 graduates. This university has been owned by Konkuk University since 1988.[1] It is accredited by ACCSC.[2]
",N/A
120865,Pacific Union College,"Pacific Union College (PUC) is a private Adventist liberal arts college in Napa Valley, California. It is the only four-year college in Napa County. It is a coeducational residential college with an almost exclusively undergraduate student body.
",They shall be all taught by God.(from John 6:45)
